Dr M now interim PM as Agong accepts his resignation,0
MMAG's M Jets targets annual cargo volume to grow 142% in five years,1
"Civil servants will continue to provide quality, effective service, says Cuepacs",0
"KLCI falls 0.76%, tracks regional decline",-1
"Anzo showing signs of developing a rebound, RHB Retail Research says",0
"FGV, MMC Corp, Guocoland, KAB, London Biscuits, Tadmax and YLI",0
"Valiram announces new additions to senior leadership in Malaysia, Thailand and Indonesia",1
Dialog raises stake in Bayan field independent technical service contractor for US$8.22 million,1
Prasarana shifts ‘profitable year’ target to after 2021 amid Covid-19 pandemic,1
"Serba Dinamik, Sunway, Seni Jaya, AirAsia Group, Kawan Food and Yong Tai",0
UEM Sunrise 2Q loss narrows amid improved sales and higher construction progress,-1
Pharmaniaga 2Q net profit leaps 72%; declares 2.5 sen interim dividend,1
"KLCI advances as Top Glove & Hartalega lift, regional markets mixed on simmering China-US tensions",0
Court grants order to freeze RM169m of Ricky Wong's assets over alleged fraud involving Bright Packaging shares,-1
Magnum 4D not selling advance draw tickets until further notice,-1
"Advancecon may rebound higher, says RHB Retail Research",1
Malaysia sees 82 new Covid-19 cases as Sabah reports 64 new cases,-1
"Foreign selling on Bursa at RM24.76b year-to-date, says MIDF Research",1
Former NSTP group editor Ahmad Talib dies,0
Ekovest to buy land in Johor for RM1.05b,0
Bursa seeks feedback on proposed rule changes on new issue of securities,0
RHB declares 15 sen dividend as profit rises in 2QFY21,1
YTL-controlled Starhill Global REIT obtains RM1.68b unsecured loan,0
"IHH swings back into the black in 3Q on operational recovery, realisation of foreign currency translation reserve",1
Malton down 1.98% after warning of possible failed venture in Taiwan,-1
"PM: Govt to open up most economic sectors 'carefully', under strict SOP from May 4, 2020",1
Putrajaya retains 4.7% GDP growth target for 2019,1
KLCI finishes up with Asian indices amid easing concerns about Trump’s health,1
Kuantan Flour Mills chairman Kushairi Zaidel resigns,0
"Glove counters rebound, among top gainers this morning",1
Boustead narrows 3Q net loss with boost in revenue,-1
"Annuar Musa claims GRS has 41 seats, will meet Sabah governor today",0
Sapura Energy share price holds its ground despite wider quarterly losses,-1
US CBP seizes gloves en route to Kansas City under Top Glove forced labour findings,0
Khazanah tells Focus Malaysia to stop reporting confidential information,0
"Possible for bullish recovery for Elsoft, says PublicInvest Research",1
Defence outlines its case; Najib claims he knows nothing,0
"KLCI ends 0.11% higher, tracking regional gains",1
"11 new Covid-19 clusters identified in the past 24 hours, with five linked to workplaces",-1
Prinsiptek enters JV to develop Langat 2 water treatment plant,0
Top Builders gets court orders to restrain creditors from taking action pending discussion,0
InNature’s sales recover; 3Q profit more than doubles q-o-q,1
Revenue Group to buy 25% stake in digitalisation service provider for RM12m,1
KLCI loses 0.99% as global sell-off persists in Asia ,-1
"MoH: 81 Covid-19 positive cases from 9,010 samples taken from patients with flu-like illness and severe respiratory infection",-1
What could an expansionary budget entail?  ,0
"MISC may rise higher, says RHB Retail Research",0
"Carlsberg Brewery, DNeX, Sarawak Consolidated, Econpile, Green Packet, GHL, Media Prima, AirAsia Group, Cycle & Carriage and Minetech Resources",0
"Covid-19: Another 19 clusters detected, raising nation’s total above 1,000",-1
Country's first ultra-premium supermarket to open in Bangsar,1
TM partners Telefónica Tech to strengthen digital infrastructure solutions,1
Kerjaya Prospek set to beat RM1.2b order book target,0
AwanTec unit seeks up to RM922m in damages after govt unilaterally terminated SKIN contract,-1
"AAX, PPB Group, Inix, Ipmuda, Fintec Global and Ageson",0
Businessman Au Yee Boon emerges as second biggest shareholder in Yi-Lai,0
FBM KLCI starts higher after US stocks' overnight rise,1
Gamuda confirms plan to sell four highway concessions to govt,0
COVID-19: Daily new cases would drop to the single digits within two weeks if public adheres to SOP,1
Mlabs volume spikes after announcing online pharmaceutical platform deal,1
"Malaysia’s top govt-linked universities: UTP, UNITEN, MMU and UNIKL",0
"Malaysia posts 1,576 new Covid-19 cases; Sarawak tops with 407 patients",-1
WCT to pay RM153m after counterclaim over Doha job dismissed,-1
Selangor frustrated by federal govt's inaction in setting up Subang Skypark private jet terminal,-1
KLCI up 0.63% on bargain hunting for blue chips but glove stocks down,1
TM 1Q net profit doubles on stronger performances across all segments,1
